# x,p
-0.000,-2.451
-0.634,-2.451
-1.266,-2.451
-1.893,-2.451
-2.511,-2.569
-3.120,-7.127
-3.717,-8.880
-4.298,-8.989
-4.862,-8.999
-5.406,-9.000
-5.929,-9.000
-6.428,-9.000
-6.901,-9.000
-7.346,-9.000
-7.761,-9.000
-8.146,-9.000
-8.497,-9.000
-8.815,-9.000
-9.096,-9.000
-9.341,-9.000
-9.549,-9.000
-9.718,-9.000
-9.848,-9.000
-9.938,-9.000
-9.989,-9.000
-9.999,-9.000
-9.969,-9.000
-9.898,-9.000
-9.788,-9.000
-9.638,-9.000
-9.450,-9.000
-9.224,-9.000
-8.960,-9.000
-8.660,-9.000
-8.326,-9.000
-7.958,-9.000
-7.557,-9.000
-7.127,-9.000
-6.668,-9.000
-6.182,-9.000
-5.671,-9.000
-5.137,-9.000
-4.582,-9.000
-4.009,-9.000
-3.420,-9.000
-2.817,-9.000
-2.203,-8.998
-1.580,-8.973
-0.951,-8.612
-0.317,-4.382
0.317,8.032
0.951,10.993
1.580,11.000
2.203,11.000
2.817,11.000
3.420,11.000
4.009,11.000
4.582,11.000
5.137,11.000
5.671,11.000
6.182,11.000
6.668,11.000
7.127,11.000
7.557,11.000
7.958,11.000
8.326,11.000
8.660,11.000
8.960,11.000
9.224,11.000
9.450,11.000
9.638,11.000
9.788,11.000
9.898,11.000
9.969,11.000
9.999,11.000
9.989,11.000
9.938,11.000
9.848,11.000
9.718,11.000
9.549,11.000
9.341,11.000
9.096,11.000
8.815,11.000
8.497,11.000
8.146,11.000
7.761,11.000
7.346,11.000
6.901,11.000
6.428,11.000
5.929,11.000
5.406,11.000
4.862,11.000
4.298,11.000
3.717,11.000
3.120,11.000
2.511,11.000
1.893,11.000
1.266,11.000
0.634,11.000
0.000,11.000
-0.000,11.000
-0.317,11.000
-0.633,11.000
-0.946,10.999
-1.256,10.998
-1.560,10.993
-1.858,10.944
-2.149,9.013
-2.431,-1.390
-2.703,-3.731
-2.965,-5.649
-3.214,-7.792
-3.450,-8.610
-3.673,-8.855
-3.881,-8.939
-4.073,-8.972
-4.249,-8.986
-4.407,-8.993
-4.548,-8.996
-4.671,-8.997
-4.775,-8.998
-4.859,-8.999
-4.924,-8.999
-4.969,-8.999
-4.994,-8.999
-4.999,-8.999
-4.984,-8.999
-4.949,-8.999
-4.894,-8.999
-4.819,-8.999
-4.725,-8.999
-4.612,-8.999
-4.480,-8.999
-4.330,-8.999
-4.163,-8.999
-3.979,-8.999
-3.779,-8.999
-3.563,-8.999
-3.334,-8.999
-3.091,-8.999
-2.835,-8.999
-2.568,-8.999
-2.291,-8.998
-2.005,-8.995
-1.710,-8.984
-1.409,-8.946
-1.102,-8.803
-0.790,-8.165
-0.475,-5.748
-0.159,-3.523
0.159,1.221
0.475,10.601
0.790,10.984
1.102,10.997
1.409,10.999
1.710,11.000
2.005,11.000
2.291,11.000
2.568,11.000
2.835,11.000
3.091,11.000
3.334,11.000
3.563,11.000
3.779,11.000
3.979,11.000
4.163,11.000
4.330,11.000
4.480,11.000
4.612,11.000
4.725,11.000
4.819,11.000
4.894,11.000
4.949,11.000
4.984,11.000
4.999,11.000
4.994,11.000
4.969,11.000
4.924,11.000
4.859,11.000
4.775,11.000
4.671,11.000
4.548,11.000
4.407,11.000
4.249,11.000
4.073,11.000
3.881,11.000
3.673,11.000
3.450,11.000
3.214,11.000
2.965,11.000
2.703,11.000
2.431,11.000
2.149,11.000
1.858,11.000
1.560,11.000
1.256,11.000
0.946,11.000
0.633,11.000
0.317,11.000
0.000,11.000
