# x,p
-0.000,-5.000
-0.634,-5.000
-1.266,-5.000
-1.893,-5.000
-2.511,-5.000
-3.120,-5.000
-3.717,-5.000
-4.298,-5.000
-4.862,-5.000
-5.406,-5.000
-5.929,-5.000
-6.428,-5.000
-6.901,-5.000
-7.346,-5.000
-7.761,-5.000
-8.146,-5.000
-8.497,-5.000
-8.815,-5.000
-9.096,-5.000
-9.341,-5.000
-9.549,-5.000
-9.718,-5.000
-9.848,-5.000
-9.938,-5.000
-9.989,-5.000
-9.999,-5.000
-9.969,-5.000
-9.898,-5.000
-9.788,-5.000
-9.638,-5.000
-9.450,-5.000
-9.224,-5.000
-8.960,-5.000
-8.660,-5.000
-8.326,-5.000
-7.958,-5.000
-7.557,-5.000
-7.127,-5.000
-6.668,-5.000
-6.182,-5.000
-5.671,-5.000
-5.137,-5.000
-4.582,-5.000
-4.009,-5.000
-3.420,-5.000
-2.817,-5.000
-2.203,-5.000
-1.580,-5.000
-0.951,-5.000
-0.317,-5.000
0.317,14.020
0.951,52.060
1.580,89.800
2.203,127.180
2.817,164.020
3.420,200.200
4.009,235.540
4.582,269.920
5.137,303.220
5.671,335.260
6.182,365.920
6.668,395.080
7.127,422.620
7.557,448.420
7.958,472.480
8.326,494.560
8.660,514.600
8.960,532.600
9.224,548.440
9.450,562.000
9.638,573.280
9.788,582.280
9.898,588.880
9.969,593.140
9.999,594.940
9.989,594.940
9.938,594.940
9.848,594.940
9.718,594.940
9.549,594.940
9.341,594.940
9.096,594.940
8.815,594.940
8.497,594.940
8.146,594.940
7.761,594.940
7.346,594.940
6.901,594.940
6.428,594.940
5.929,594.940
5.406,594.940
4.862,594.940
4.298,594.940
3.717,594.940
3.120,594.940
2.511,594.940
1.893,594.940
1.266,594.940
0.634,594.940
0.000,594.940
-0.000,594.940
-0.317,594.940
-0.633,594.940
-0.946,594.940
-1.256,594.940
-1.560,594.940
-1.858,594.940
-2.149,594.940
-2.431,594.940
-2.703,594.940
-2.965,594.940
-3.214,594.940
-3.450,594.940
-3.673,594.940
-3.881,594.940
-4.073,594.940
-4.249,594.940
-4.407,594.940
-4.548,594.940
-4.671,594.940
-4.775,594.940
-4.859,594.940
-4.924,594.940
-4.969,594.940
-4.994,594.940
-4.999,594.940
-4.984,594.940
-4.949,594.940
-4.894,594.940
-4.819,594.940
-4.725,594.940
-4.612,594.940
-4.480,594.940
-4.330,594.940
-4.163,594.940
-3.979,594.940
-3.779,594.940
-3.563,594.940
-3.334,594.940
-3.091,594.940
-2.835,594.940
-2.568,594.940
-2.291,594.940
-2.005,594.940
-1.710,594.940
-1.409,594.940
-1.102,594.940
-0.790,594.940
-0.475,594.940
-0.159,594.940
0.159,594.940
0.475,594.940
0.790,594.940
1.102,594.940
1.409,594.940
1.710,594.940
2.005,594.940
2.291,594.940
2.568,594.940
2.835,594.940
3.091,594.940
3.334,594.940
3.563,594.940
3.779,594.940
3.979,594.940
4.163,594.940
4.330,594.940
4.480,594.940
4.612,594.940
4.725,594.940
4.819,594.940
4.894,594.940
4.949,594.940
4.984,594.940
4.999,594.940
4.994,594.940
4.969,594.940
4.924,594.940
4.859,594.940
4.775,594.940
4.671,594.940
4.548,594.940
4.407,594.940
4.249,594.940
4.073,594.940
3.881,594.940
3.673,594.940
3.450,594.940
3.214,594.940
2.965,594.940
2.703,594.940
2.431,594.940
2.149,594.940
1.858,594.940
1.560,594.940
1.256,594.940
0.946,594.940
0.633,594.940
0.317,594.940
0.000,594.940
